Machine,Family,WorkloadTypes,CPU,vCPUs,Nodes,MemoryGB,BenchmarkScore,SourceUrl
Standard_F2s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,2,1,4.0,35925.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F2s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,2,1,4.0,35659.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F4s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,4,1,8.0,65819.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F4s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,4,1,8.0,65683.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F8s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,8,1,16.0,136027.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F8s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,8,1,16.0,135829.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F16s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,16,1,32.0,271369.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F16s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,16,1,32.0,271236.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F32s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,32,1,64.0,538734.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F32s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,32,1,64.0,537915.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F48s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,48,2,96.0,780596.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F48s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,48,1,96.0,749662.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F64s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,64,2,128.0,1035424.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F64s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,64,2,128.0,1023867.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F72s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8168 CPU @ 2.70GHz,72,2,144.0,1126078.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_F72s_v2,Fsv2 - Compute + Premium Storage,Compute optimized,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,72,2,144.0,1120116.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_FX4mds,FXMDVS,Compute optimized,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,4,1,82.5,77794.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_FX12mds,FXMDVS,Compute optimized,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,12,1,247.8,228808.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_FX24mds,FXMDVS,Compute optimized,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,24,1,495.8,475203.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_FX36mds,FXMDVS,Compute optimized,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,36,2,744.1,678947.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_FX48mds,FXMDVS,Compute optimized,Intel(R) Xeon(R) Gold 6246R CPU @ 3.40GHz,48,2,992.1,899165.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1s,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,1.0,18768.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1s,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,1.0,19725.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1s,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,1.0,18287.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1s,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,1.0,21992.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ls,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,0.5,19162.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ls,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,0.5,19365.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ls,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,0.5,18780.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ls,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,0.5,21954.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ms,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,1,1,2.0,18167.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ms,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,1,1,2.0,20113.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ms,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,1,2.0,18882.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B1ms,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,1,2.0,22182.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B2s,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,2,1,4.0,36074.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B2s,B - Burstable,General purpose,Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz,2,1,4.0,37634.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
Standard_B2s,B - Burstable,General purpose,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,2,1,4.0,37824.0,https://learn.microsoft.com/en-us/azure/virtual-machines/linux/compute-benchmark-scores
