CloudZone,CloudRegion,Location,MachineTypes,Cpus,Resource,SourceUrl
africa-south1-a,africa-south1,Johannesburg. South Africa,E2. N2. N2D. T2D,Intel Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,,https://cloud.google.com/compute/docs/regions-zones?hl=en
africa-south1-b,africa-south1,Johannesburg. South Africa,E2. N2. N2D. T2D,Intel Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,,https://cloud.google.com/compute/docs/regions-zones?hl=en
africa-south1-c,africa-south1,Johannesburg. South Africa,E2. N2. N2D. T2D,Intel Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east1-a,asia-east1,Changhua County. Taiwan. APAC,E2. N2. N2D. T2D. N1. M1. C2. C2D. G2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east1-b,asia-east1,Changhua County. Taiwan. APAC,E2. N2. N2D. T2D. N1. M1. M3. C2. C2D. G2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east1-c,asia-east1,Changhua County. Taiwan. APAC,E2. N2. N2D. T2D. N1. M1. M3. C2. C2D. G2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east2-a,asia-east2,Hong Kong. APAC,E2. N2. N2D. T2D. N1. C2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east2-b,asia-east2,Hong Kong. APAC,E2. N2. N2D. T2D. N1. C2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-east2-c,asia-east2,Hong Kong. APAC,E2. N2. N2D. T2D. N1. C2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
asia-northeast1-a,asia-northeast1,Tokyo. Japan. APAC,E2. N2. N2D. T2D. N1. M1. M2. C2. A2. G2,Intel Ivy Bridge. Sandy Bridge. Haswell. Broadwell. Skylake. Cascade Lake. Ice Lake. AMD EPYC Rome. AMD EPYC Milan,GPUs,https://cloud.google.com/compute/docs/regions-zones?hl=en
